store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,banner,province_code,province_name,cma_code,cma_name,cma_type,fsa,coord_source,geo_source,osm_id,osm_type
osm:node/4530894348,,,Valu-mart,open,,,,,Ontario,,CA,45.5570243,-74.8867615,America/Toronto,Supermarket,,,Valu-Mart,ON,Ontario,,,,,osm,osm+pip,4530894348,node
osm:node/4543749999,,,No Frills,open,2 Warwick Drive,Wallaceburg,,,Ontario,N8A 3N4,CA,42.5924802,-82.4007311,America/Toronto,Discount,,,No Frills,ON,Ontario,556,Chatham-Kent,D,N8A,osm,osm+postcode_letter,4543749999,node
osm:node/4546523745,,,Maxi,open,3399 Rue Queen,Rawdon,,,Quebec,,CA,46.0364912,-73.7000143,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+postcode_letter,4546523745,node
osm:node/4552938204,,,Maxi,open,,,,,Quebec,,CA,46.3754112,-75.9837432,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,4552938204,node
osm:node/4557008744,,https://www.realcanadiansuperstore.ca/store-locator/details/0562,Real Canadian Superstore,open,,,,,Ontario,,CA,42.4321942,-82.2177815,America/Toronto,Hypermarket,,,Real Canadian Superstore,ON,Ontario,556,Chatham-Kent,D,,osm,osm+pip,4557008744,node
osm:node/4571977816,,https://www.zehrs.ca/,Zehrs,open,,,,,Ontario,,CA,44.414398,-79.6768266,America/Toronto,Supermarket,,,Zehrs,ON,Ontario,568,Barrie,B,,osm,osm+pip,4571977816,node
osm:node/4575335784,,,No Frills,open,,,,,Saskatchewan,,CA,52.7607713,-108.2753279,America/Regina,Discount,,,No Frills,SK,Saskatchewan,735,North Battleford,D,,osm,osm+pip,4575335784,node
osm:node/4587957455,,,Maxi,open,,,,,Quebec,,CA,45.6575249,-72.1410269,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,4587957455,node
osm:node/4589970173,,,Provigo,open,,,,,Quebec,,CA,45.5766149,-71.9949471,America/Toronto,Supermarket,,,Provigo,QC,Quebec,,,,,osm,osm+pip,4589970173,node
osm:node/4596330507,,https://www.maxi.ca/,Maxi,open,8 Rue Saint-Jacques,Saint-Jacques,,,Quebec,J0K 2R0,CA,45.9453062,-73.5659972,America/Toronto,Discount,,450-839-7218,Maxi,QC,Quebec,,,,J0K,osm,osm+postcode_letter,4596330507,node
osm:node/4598960677,,https://www.maxi.ca/,Maxi,open,515 Boulevard Lacombe,,,,Quebec,J5Z 1P5,CA,45.7558021,-73.4662353,America/Toronto,Supermarket,,,Provigo,QC,Quebec,462,Montréal,B,J5Z,osm,osm+postcode_letter,4598960677,node
osm:node/4621548365,,,Maxi,open,110 Rue Brassard,Saint-Michel-des-Saints,,,Quebec,,CA,46.6711284,-73.9138233,America/Toronto,Discount,,450-833-6000,Maxi,QC,Quebec,,,,,osm,osm+pip,4621548365,node
osm:node/4625687051,,,大統華 T&T Supermarket,open,301 College Street,,,,Ontario,M5T1S2;M5T0C2,CA,43.657462,-79.4015575,America/Toronto,Asian Specialty,,416-413-1113,T&T Supermarket,ON,Ontario,535,Toronto,B,,osm,osm+postcode_letter,4625687051,node
osm:node/4630568724,,,No Frills,open,,,,,Alberta,,CA,53.7865093,-113.6472468,America/Edmonton,Discount,,,No Frills,AB,Alberta,835,Edmonton,B,,osm,osm+pip,4630568724,node
osm:node/4631208789,,https://www.nofrills.ca/store-locator/details/3419,No Frills,open,12852 96 Avenue,,,,British Columbia,,CA,49.1762528,-122.8656754,America/Vancouver,Discount,,604-584-0483,No Frills,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,4631208789,node
osm:node/4738058264,,,Maxi,open,,,,,Quebec,,CA,46.2562251,-72.9267124,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,4738058264,node
osm:node/4738977612,,,Maxi,open,,,,,Quebec,,CA,45.7127289,-73.5098285,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,4738977612,node
osm:node/4739037158,,,Maxi,open,,,,,Quebec,,CA,45.767304,-73.7275538,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,4739037158,node
osm:node/4745708252,,,Maxi,open,,,,,Quebec,,CA,45.677122,-73.4351832,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,4745708252,node
osm:node/4755282232,,https://www.provigo.ca/fr/store-locator/details/7293,Provigo,open,1402 Rue Roberval,Saint-Bruno-de-Montarville,,,Quebec,J3V 5J2,CA,45.5277715,-73.3447845,America/Toronto,Supermarket,,450-653-0433,Provigo,QC,Quebec,462,Montréal,B,J3V,osm,osm+postcode_letter,4755282232,node
osm:node/4755533603,,,Maxi,open,,,,,Quebec,,CA,45.5266744,-73.3041399,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,4755533603,node
osm:node/4771874022,,,Loblaws,open,,,,,British Columbia,,CA,49.3276283,-123.138999,America/Vancouver,Supermarket,,,Loblaws,BC,British Columbia,933,Vancouver,B,,osm,osm+pip+nearest,4771874022,node
osm:node/4777408263,,,No Frills,open,,,,,Alberta,,CA,50.9310499,-114.0250569,America/Edmonton,Discount,,,No Frills,AB,Alberta,825,Calgary,B,,osm,osm+pip,4777408263,node
osm:node/4782862061,,,Your Independent Grocer,open,44 Great Northern Road,Sault Ste. Marie,,,Ontario,,CA,46.5258311,-84.3170541,America/Toronto,Supermarket,,,Your Independent Grocer,ON,Ontario,590,Sault Ste. Marie,K,,osm,osm+pip,4782862061,node
osm:node/4783693116,,,No Frills,open,,,,,Ontario,,CA,45.0278846,-74.7031811,America/Toronto,Discount,,,No Frills,ON,Ontario,501,Cornwall,D,,osm,osm+pip,4783693116,node
osm:node/4816388485,,,Maxi,open,,,,,Quebec,,CA,45.7483129,-73.6070774,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,4816388485,node
osm:node/4833189537,,https://www.nofrills.ca/en/store-locator/details/3641,No Frills,open,1030 Denman Street,Vancouver,,,British Columbia,,CA,49.2887465,-123.138325,America/Vancouver,Discount,,866-987-6453,No Frills,BC,British Columbia,933,Vancouver,B,,osm,osm+postcode_letter,4833189537,node
osm:node/4870420450,,,Maxi,open,,,,,Quebec,,CA,48.3362708,-70.8975303,America/Toronto,Discount,,,Maxi,QC,Quebec,408,Saguenay,B,,osm,osm+pip,4870420450,node
osm:node/4876267026,,,Fortinos,open,,,,,Ontario,,CA,43.759758,-79.7304423,America/Toronto,Supermarket,,,Fortinos,ON,Ontario,535,Toronto,B,,osm,osm+pip,4876267026,node
osm:node/4927611326,,,Maxi,open,,,,,Quebec,,CA,45.6534038,-73.5093758,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,4927611326,node
osm:node/4936281321,,,Your Independent Grocer,open,,,,,Nova Scotia,,CA,44.3752388,-64.3251125,America/Halifax,Supermarket,,,Your Independent Grocer,NS,Nova Scotia,,,,,osm,osm+pip,4936281321,node
osm:node/4937559212,,https://www.realcanadiansuperstore.ca/store-locator/details/1515,Real Canadian Superstore,open,920 Victoria Avenue,Brandon,,,Manitoba,R7A 1A7,CA,49.8414777,-99.9502994,America/Winnipeg,Hypermarket,,204-729-4600,Real Canadian Superstore,MB,Manitoba,610,Brandon,D,R7A,osm,osm+postcode_letter,4937559212,node
osm:node/5141865922,,,Maxi,open,Rue Azilia,,,,Quebec,,CA,46.980922,-70.5705383,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,5141865922,node
osm:node/5170624266,,,Maxi,open,,,,,Quebec,,CA,45.4913448,-73.4784808,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,5170624266,node
osm:node/5220168033,,,No Frills,open,,,,,Alberta,,CA,51.0852125,-113.955747,America/Edmonton,Discount,,,No Frills,AB,Alberta,825,Calgary,B,,osm,osm+pip,5220168033,node
osm:node/5269009611,,,Provigo,open,,,,,Quebec,,CA,45.5156897,-73.6834133,America/Toronto,Supermarket,,,Provigo,QC,Quebec,462,Montréal,B,,osm,osm+pip,5269009611,node
osm:node/5283230722,,,No Frills,open,210 5th Avenue West,Cochrane,,,Alberta,,CA,51.18698,-114.4747026,America/Edmonton,Discount,,,No Frills,AB,Alberta,825,Calgary,B,,osm,osm+pip,5283230722,node
osm:node/5288661121,,,Maxi,open,,,,,Quebec,,CA,45.3316141,-73.2932774,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,5288661121,node
osm:node/5378399097,,https://www.nofrills.ca/en/store-locator/details/7503,No Frills,open,191 Silvercreek Parkway North,Guelph,,,Ontario,N1H 3T2,CA,43.5419527,-80.2811497,America/Toronto,Discount,,866-987-6453,No Frills,ON,Ontario,550,Guelph,B,N1H,osm,osm+postcode_letter,5378399097,node
osm:node/5441373327,,https://www.zehrs.ca/,Loblaws,open,Bayfield Street,Barrie,,,Ontario,,CA,44.4117381,-79.7132925,America/Toronto,Supermarket,,,Loblaws,ON,Ontario,568,Barrie,B,,osm,osm+pip,5441373327,node
osm:node/5472246122,,https://www.provigo.ca/store-locator/details/8464,Provigo,open,1275 Avenue des Canadiens-de-Montréal,Montréal,,,Quebec,,CA,45.4965189,-73.5703327,America/Toronto,Supermarket,,514-934-1261,Provigo,QC,Quebec,462,Montréal,B,,osm,osm+pip,5472246122,node
osm:node/5479012223,,https://www.nofrills.ca/store-locator/details/3240,No Frills,open,15355 Fraser Highway,,,,British Columbia,,CA,49.1649107,-122.79637,America/Vancouver,Discount,,844-295-8219,No Frills,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,5479012223,node
osm:node/5527782636,,,Provigo,open,5595 Avenue de Monkland,Montréal,,,Quebec,,CA,45.4759935,-73.6229065,America/Toronto,Supermarket,,,Provigo,QC,Quebec,462,Montréal,B,,osm,osm+pip,5527782636,node
osm:node/5558162581,,,Loblaws,open,12060 104 Avenue NW,Edmonton,,,Alberta,T5K 0T3,CA,53.5474987,-113.529449,America/Edmonton,Supermarket,,,Loblaws,AB,Alberta,835,Edmonton,B,T5K,osm,osm+postcode_letter,5558162581,node
osm:node/5570385421,,,No Frills,open,4 Aquitania Boulevard W,,,,Alberta,T1J 5L4,CA,49.6730407,-112.9027709,America/Edmonton,Discount,,403-394-7056,No Frills,AB,Alberta,810,Lethbridge,B,T1J,osm,osm+postcode_letter,5570385421,node
osm:node/5662135892,,,Maxi,open,,,,,Quebec,,CA,48.5170404,-72.2240932,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,5662135892,node
osm:node/5664688741,,,Provigo,open,,,,,Quebec,,CA,48.8913311,-72.2018941,America/Toronto,Supermarket,,,Provigo,QC,Quebec,411,Dolbeau-Mistassini,D,,osm,osm+pip,5664688741,node
osm:node/5688598957,,,No Frills,open,,,,,Ontario,,CA,43.9021445,-78.9424487,America/Toronto,Discount,,,No Frills,ON,Ontario,532,Oshawa,B,,osm,osm+pip,5688598957,node
osm:node/5691621021,,,Maxi,open,Rue Saint-Jacques,,,,Quebec,,CA,45.3979743,-72.7341283,America/Toronto,Discount,,,Maxi,QC,Quebec,450,Granby,K,,osm,osm+pip,5691621021,node
osm:node/5842418350,,,No Frills,open,"59 Mill St E, Tilbury,",,,,Ontario,,CA,42.265825,-82.4226263,America/Toronto,Discount,,,No Frills,ON,Ontario,556,Chatham-Kent,D,,osm,osm+pip,5842418350,node
osm:node/5850665252,,https://www.nofrills.ca/store-locator/details/3430,No Frills,open,9831 98A Avenue,,,,British Columbia,,CA,56.2440865,-120.84635,America/Vancouver,Discount,,866-987-6453,No Frills,BC,British Columbia,977,Fort St. John,D,,osm,osm+pip,5850665252,node
osm:node/6047933197,,,No Frills,open,100 Rainbow Road,Chestermere,,,Alberta,T1X 0V3,CA,51.0259828,-113.8394161,America/Edmonton,Discount,,,No Frills,AB,Alberta,825,Calgary,B,T1X,osm,osm+postcode_letter,6047933197,node
osm:node/6096959395,,,No Frills,open,42 Hanna Avenue,Toronto,,,Ontario,,CA,43.6392664,-79.4200024,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,6096959395,node
osm:node/6128841525,,,Provigo,open,,Victoriaville,,,Quebec,,CA,46.061462,-71.927288,America/Toronto,Supermarket,,,Provigo,QC,Quebec,440,Victoriaville,D,,osm,osm+pip,6128841525,node
osm:node/6188497202,,,Provigo,open,,,,,Quebec,,CA,45.3069753,-73.26689,America/Toronto,Supermarket,,,Provigo,QC,Quebec,462,Montréal,B,,osm,osm+pip,6188497202,node
osm:node/6191440772,,,Maxi,open,,,,,Quebec,,CA,47.4426066,-70.5096566,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,6191440772,node
osm:node/6267971635,,,No Frills,open,,,,,Alberta,,CA,49.7050429,-112.822423,America/Edmonton,Discount,,,No Frills,AB,Alberta,810,Lethbridge,B,,osm,osm+pip,6267971635,node
osm:node/6285186712,,,Your Independent Grocer,open,129 Brunswick Street,St. George,,,New Brunswick,E5C 1A8,CA,45.129924,-66.8318064,America/Moncton,Supermarket,,506-755-3134,Your Independent Grocer,NB,New Brunswick,,,,E5C,osm,osm+postcode_letter,6285186712,node
osm:node/6315215152,,,Provigo,open,,,,,Quebec,,CA,48.0956653,-77.8239842,America/Toronto,Supermarket,,,Provigo,QC,Quebec,480,Val-d'Or,D,,osm,osm+pip,6315215152,node
osm:node/6318391089,,,Maxi,open,,,,,Quebec,,CA,50.2154636,-66.3804004,America/Toronto,Supermarket,,,Provigo,QC,Quebec,412,Sept-Îles,D,,osm,osm+pip,6318391089,node
osm:node/6326045153,,https://www.tntsupermarket.com,大統華 T&T Supermarket,open,2206 Kingsway,Vancouver,,,British Columbia,V5N 2T7,CA,49.2430559,-123.061666,America/Vancouver,Asian Specialty,,604-559-8586,T&T Supermarket,BC,British Columbia,933,Vancouver,B,V5N,osm,osm+postcode_letter,6326045153,node
osm:node/6370196547,,,Maxi,open,,,,,Quebec,,CA,48.806679,-79.1973576,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,6370196547,node
osm:node/6606419417,,,No Frills,open,,,,,Ontario,,CA,43.8416969,-79.0238414,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,6606419417,node
osm:node/6644599375,,,Maxi,open,,,,,Quebec,,CA,46.2167692,-71.7661418,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,6644599375,node
osm:node/6648435066,,,No Frills,open,,,,,Ontario,,CA,46.2833529,-79.4459721,America/Toronto,Discount,,,No Frills,ON,Ontario,575,North Bay,K,,osm,osm+pip,6648435066,node
osm:node/6672933209,,,Maxi,open,,,,,Quebec,,CA,48.4676962,-68.5133315,America/Toronto,Discount,,,Maxi,QC,Quebec,404,Rimouski,D,,osm,osm+pip,6672933209,node
osm:node/6672973037,,,No Frills,open,,,,,Ontario,,CA,43.0036406,-81.1726742,America/Toronto,Discount,,,No Frills,ON,Ontario,555,London,B,,osm,osm+pip,6672973037,node
osm:node/6689630542,,https://www.realcanadiansuperstore.ca/store-locator/details/2826,Real Canadian Superstore,open,,,,,Ontario,,CA,42.977842,-82.3651389,America/Toronto,Hypermarket,,,Real Canadian Superstore,ON,Ontario,562,Sarnia,K,,osm,osm+pip,6689630542,node
osm:node/6698157749,,,No Frills,open,,,,,New Brunswick,,CA,45.2547627,-66.0933738,America/Moncton,Discount,,,No Frills,NB,New Brunswick,310,Saint John,B,,osm,osm+pip+nearest,6698157749,node
osm:node/6699330006,,https://www.yourindependentgrocer.ca/en/store-locator/details/3723,Your Independent Grocer,open,,,,,Ontario,,CA,44.5376903,-78.5391002,America/Toronto,Supermarket,,,Your Independent Grocer,ON,Ontario,530,Kawartha Lakes,D,,osm,osm+pip,6699330006,node
osm:node/6894314372,,,No Frills,open,,Surrey,,,British Columbia,,CA,49.1032642,-122.7315581,America/Vancouver,Discount,,,No Frills,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,6894314372,node
osm:node/6923417147,,,Maxi,open,6600 Rue Saint-Jacques,Montréal,,,Quebec,H4B 1V8,CA,45.4599231,-73.624347,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,H4B,osm,osm+postcode_letter,6923417147,node
osm:node/6923703130,,,Maxi,open,50 Avenue du Mont-Royal Ouest,Montréal,,,Quebec,,CA,45.5190602,-73.5870946,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+postcode_letter,6923703130,node
osm:node/6985834322,,,No Frills,open,,,,,Ontario,,CA,42.942286,-81.2295342,America/Toronto,Discount,,,No Frills,ON,Ontario,555,London,B,,osm,osm+pip,6985834322,node
osm:node/7015523589,,,No Frills,open,,,,,Ontario,,CA,42.3884482,-82.1656631,America/Toronto,Discount,,,No Frills,ON,Ontario,556,Chatham-Kent,D,,osm,osm+pip,7015523589,node
osm:node/7022736224,,https://www.realcanadiansuperstore.ca/store-locator/details/2827,Real Canadian Superstore,open,,,,,Ontario,,CA,42.2893336,-83.0226313,America/Toronto,Hypermarket,,,Real Canadian Superstore,ON,Ontario,559,Windsor,B,,osm,osm+pip,7022736224,node
osm:node/7061980462,,,Valu-mart,open,,,,,Ontario,,CA,44.3827969,-78.3832414,America/Toronto,Supermarket,,,Valu-Mart,ON,Ontario,529,Peterborough,B,,osm,osm+pip,7061980462,node
osm:node/7076452702,,,Your Independent Grocer,open,,,,,New Brunswick,,CA,45.5954627,-67.3116381,America/Moncton,Supermarket,,,Your Independent Grocer,NB,New Brunswick,,,,,osm,osm+pip,7076452702,node
osm:node/7082621642,,,Your Independent Grocer,open,,,,,Ontario,,CA,46.5708109,-81.1830985,America/Toronto,Supermarket,,,Your Independent Grocer,ON,Ontario,580,Greater Sudbury / Grand Sudbury,B,,osm,osm+pip,7082621642,node
osm:node/7086454405,,,Valu-mart,open,,,,,Ontario,,CA,46.4942365,-80.846128,America/Toronto,Supermarket,,,Valu-Mart,ON,Ontario,580,Greater Sudbury / Grand Sudbury,B,,osm,osm+pip,7086454405,node
osm:node/7089771070,,,Maxi,open,,,,,Quebec,,CA,47.418166,-72.7838398,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,7089771070,node
osm:node/7216468738,,https://www.zehrs.ca/store-locator/details/0538,Zehrs,open,297 Eramosa Road,,,,Ontario,,CA,43.5586016,-80.2478187,America/Toronto,Supermarket,,519-763-4550,Zehrs,ON,Ontario,550,Guelph,B,,osm,osm+pip,7216468738,node
osm:node/7286924930,,,Maxi,open,,,,,Quebec,,CA,46.1178039,-74.5709027,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,7286924930,node
osm:node/7288257985,,,Maxi,open,,,,,Quebec,,CA,45.3913182,-73.5820374,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,7288257985,node
osm:node/7347754895,,,Wholesale Club,open,,,,,Ontario,,CA,44.354653,-78.7544632,America/Toronto,Wholesale,,,Wholesale Club,ON,Ontario,530,Kawartha Lakes,D,,osm,osm+pip,7347754895,node
osm:node/7356726035,,,Maxi,open,,,,,Quebec,,CA,45.4392656,-73.6913714,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,7356726035,node
osm:node/7357344418,,,Maxi,open,14875 boul. de Pierrefonds,Montréal,,,Quebec,H9H 4M5,CA,45.4848289,-73.8609886,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,H9H,osm,osm+postcode_letter,7357344418,node
osm:node/7357344457,,,Maxi,open,4849 Boulevard Saint-Jean,Montréal,,,Quebec,H9H 2A9,CA,45.4905164,-73.85024,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,H9H,osm,osm+postcode_letter,7357344457,node
osm:node/7369578087,,,Maxi,open,501 Avenue Saint-Charles,Vaudreuil-Dorion,,,Quebec,,CA,45.4048296,-74.0310346,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+postcode_letter,7369578087,node
osm:node/7490812386,,,Maxi,open,,,,,Quebec,,CA,45.6679084,-73.5765251,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,7490812386,node
osm:node/7491024012,,,Wholesale Club,open,,,,,Ontario,,CA,45.8252069,-77.1322524,America/Toronto,Wholesale,,,Wholesale Club,ON,Ontario,515,Pembroke,D,,osm,osm+pip,7491024012,node
osm:node/7495589981,,,No Frills,open,,,,,Ontario,,CA,45.8309691,-77.1457681,America/Toronto,Discount,,,No Frills,ON,Ontario,515,Pembroke,D,,osm,osm+pip,7495589981,node
osm:node/7504493140,,,Maxi,open,,,,,Quebec,,CA,45.4715854,-73.562314,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,7504493140,node
osm:node/7521047207,,,No Frills,open,11405 40 Avenue NW,,,,Alberta,,CA,53.4754368,-113.5273267,America/Edmonton,Discount,,,No Frills,AB,Alberta,835,Edmonton,B,,osm,osm+pip,7521047207,node
osm:node/7527472697,,,Provigo,open,,,,,Quebec,,CA,45.7669193,-73.8140272,America/Toronto,Supermarket,,,Provigo,QC,Quebec,462,Montréal,B,,osm,osm+pip,7527472697,node
osm:node/7578776948,,https://www.realcanadiansuperstore.ca/store-locator/details/1590,Real Canadian Superstore,open,428 6 Avenue SE,Calgary,,,Alberta,T2G 0G7,CA,51.0474441,-114.055056,America/Edmonton,Hypermarket,,825-513-9510,Real Canadian Superstore,AB,Alberta,825,Calgary,B,T2G,osm,osm+postcode_letter,7578776948,node
osm:node/7597042810,,,No Frills,open,,,,,Ontario,,CA,43.1772498,-79.214756,America/Toronto,Discount,,,No Frills,ON,Ontario,539,St. Catharines - Niagara,B,,osm,osm+pip,7597042810,node
osm:node/7631217906,,,No Frills,open,,,,,Ontario,,CA,43.2295372,-79.7764716,America/Toronto,Discount,,,No Frills,ON,Ontario,537,Hamilton,B,,osm,osm+pip,7631217906,node
osm:node/7644931190,,,Valu-mart,open,,,,,Ontario,,CA,44.4836952,-77.6788685,America/Toronto,Supermarket,,,Valu-Mart,ON,Ontario,,,,,osm,osm+pip,7644931190,node
osm:node/7650718200,,,Maxi,open,253 Boulevard De Périgny,Chambly,,,Quebec,,CA,45.4461664,-73.2850834,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+postcode_letter,7650718200,node
osm:node/7687993743,,,Maxi,open,,,,,Quebec,,CA,45.8961142,-72.5218673,America/Toronto,Discount,,,Maxi,QC,Quebec,447,Drummondville,B,,osm,osm+pip,7687993743,node
osm:node/7695682214,,,No Frills,open,1050 Simcoe Street North,Oshawa,,,Ontario,,CA,43.9249197,-78.8766356,America/Toronto,Discount,,,No Frills,ON,Ontario,532,Oshawa,B,,osm,osm+pip,7695682214,node
osm:node/7737211937,,,Zehrs,open,,,,,Ontario,,CA,42.8550097,-80.6897473,America/Toronto,Supermarket,,,Zehrs,ON,Ontario,547,Norfolk,D,,osm,osm+pip,7737211937,node
osm:node/7899974042,,,Loblaws,open,Bathurst Street,Toronto,,,Ontario,M5V 2V9,CA,43.637136,-79.3991607,America/Toronto,Supermarket,,,Loblaws,ON,Ontario,535,Toronto,B,M5V,osm,osm+postcode_letter,7899974042,node
osm:node/8063886919,,https://www.maxi.ca,Maxi Cardinal,open,92 Boulevard Cardinal-Léger,Pincourt,,,Quebec,J7W 3Y4,CA,45.3840477,-73.9915232,America/Toronto,Discount,,514-453-6622,Maxi,QC,Quebec,462,Montréal,B,J7W,osm,osm+postcode_letter,8063886919,node
osm:node/8079617699,,,Maxi,open,,,,,Quebec,,CA,45.3578105,-73.7150074,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,8079617699,node
osm:node/8291102649,,,Maxi,open,,,,,Quebec,,CA,48.4638764,-67.4251127,America/Toronto,Discount,,,Maxi,QC,Quebec,,,,,osm,osm+pip,8291102649,node
osm:node/8421293808,,,Maxi,open,,,,,Quebec,,CA,45.5840646,-73.324319,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,8421293808,node
osm:node/8427071228,,,Your Independent Grocer,open,,,,,Prince Edward Island,,CA,46.8123776,-64.0652677,America/Halifax,Supermarket,,,Your Independent Grocer,PE,Prince Edward Island,,,,,osm,osm+pip,8427071228,node
osm:node/8676287258,,,Maxi,open,444 Boulevard Curé-Labelle,Laval,,,Quebec,,CA,45.5782614,-73.7866946,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+postcode_letter,8676287258,node
osm:node/8681954779,,https://www.nofrills.ca/store-locator/details/3433,No Frills,open,,,,,British Columbia,,CA,49.2646605,-122.768066,America/Vancouver,Discount,,866-987-6453,No Frills,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,8681954779,node
osm:node/8919318102,,https://www.maxi.ca/LCLOnline/store_details_landing_page.jsp?storeId=2137,Maxi,open,8305 Avenue Papineau,Montréal,,,Quebec,H2M 2G2,CA,45.5557724,-73.6213008,America/Toronto,Discount,,514-376-6457,Maxi,QC,Quebec,462,Montréal,B,H2M,osm,osm+postcode_letter,8919318102,node
osm:node/8930359408,,,Valu-mart,open,,,,,Ontario,,CA,47.8254174,-79.8742012,America/Toronto,Supermarket,,,Valu-Mart,ON,Ontario,,,,,osm,osm+pip,8930359408,node
osm:node/8932951589,,,Maxi,open,7605 Boulevard Maurice-Duplessis,Montréal,,,Quebec,,CA,45.6274108,-73.5979569,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+postcode_letter,8932951589,node
osm:node/9002187125,,,Your Independent Grocer,open,,,,,New Brunswick,,CA,47.6988195,-65.7012595,America/Moncton,Supermarket,,,Your Independent Grocer,NB,New Brunswick,328,Bathurst,D,,osm,osm+pip,9002187125,node
osm:node/9038164016,,https://www.nofrills.ca/en/store-locator/details/9779,No Frills,open,770 Fisgard Street,Victoria,,,British Columbia,V8W 0B8,CA,48.4298258,-123.3640606,America/Vancouver,Discount,,866-987-6453,No Frills,BC,British Columbia,935,Victoria,B,V8W,osm,osm+postcode_letter,9038164016,node
osm:node/9067788985,,,Your Independent Grocer,open,,,,,Ontario,,CA,44.1562082,-81.0082714,America/Toronto,Supermarket,,,Your Independent Grocer,ON,Ontario,,,,,osm,osm+pip,9067788985,node
osm:node/9181815216,,,Loblaws City Market;Loblaws,open,1650 Lonsdale Avenue,North Vancouver,,,British Columbia,,CA,49.3239122,-123.0718946,America/Vancouver,Supermarket,,,Loblaws,BC,British Columbia,933,Vancouver,B,,osm,osm+postcode_letter,9181815216,node
osm:node/9221712205,,,Sam's Your Independent Grocer,open,70 Hope Street West,Tavistock,,,Ontario,N0B 2R0,CA,43.3205964,-80.8386676,America/Toronto,Supermarket,,,Valu-Mart,ON,Ontario,,,,N0B,osm,osm+postcode_letter,9221712205,node
osm:node/9246338100,,,Wholesale Club,open,1000 Lakeside Drive South,,,,British Columbia,,CA,52.1178317,-122.1316018,America/Vancouver,Wholesale,,,Wholesale Club,BC,British Columbia,950,Williams Lake,D,,osm,osm+pip,9246338100,node
osm:node/9277110640,,https://www.realcanadiansuperstore.ca/store-locator/details/1519,Real Canadian Superstore,open,,,,,British Columbia,,CA,49.2351424,-122.8559714,America/Vancouver,Hypermarket,,604-520-8327,Real Canadian Superstore,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,9277110640,node
