store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source,county_name,cbsa_name,cbsa_metro,csa_name
2950,,https://www.walmart.com/store/2950-palmdale-ca,Walmart Supercenter,open,37140 47th St E,Palmdale,,California,CA,93552,US,34.5572,-118.0843,America/Los_Angeles,Supercenter,,661-533-0248,06,06037,06037910706,060379107061040,31080,348,ceo,census,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
5689,,https://www.walmart.com/store/5689-palmdale-ca,Walmart Neighborhood Market,open,3875 Rancho Vista Boulevard,Palmdale,,California,CA,93551,US,34.614,-118.2002,America/Los_Angeles,Neighborhood Market,,661-202-3602,06,06037,06037910210,060379102102013,31080,348,ceo,census,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
1660,,https://www.walmart.com/store/1660-palmdale-ca,Walmart Supercenter,open,40130 10th St W,Palmdale,,California,CA,93551,US,34.6117,-118.1452,America/Los_Angeles,Supercenter,,661-267-6496,06,06037,06037910218,060379102181020,31080,348,ceo,census,Los Angeles County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
5664,,https://www.walmart.com/store/5664-camarillo-ca,Walmart Neighborhood Market,open,275 West Ventura Blvd,Camarillo,,California,CA,93010,US,34.2172,-119.0746,America/Los_Angeles,Neighborhood Market,,805-233-3378,06,06111,06111005602,061110056023017,37100,348,ceo,census,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA",TRUE,"Los Angeles-Long Beach, CA"
2032,,https://www.walmart.com/store/2032-oxnard-ca,Walmart Supercenter,open,2001 N Rose Ave,Oxnard,,California,CA,93036,US,34.2201,-119.1609,America/Los_Angeles,Supercenter,,805-981-4884,06,06111,06111009200,061110092001000,37100,348,ceo,census,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA",TRUE,"Los Angeles-Long Beach, CA"
3179,,https://www.walmart.com/store/3179-thousand-oaks-ca,Walmart Neighborhood Market,open,512 N Ventu Park Rd,Thousand Oaks,,California,CA,91320,US,34.1869,-118.9109,America/Los_Angeles,Neighborhood Market,,805-262-3406,06,06111,06111005911,061110059112001,37100,348,ceo,census,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA",TRUE,"Los Angeles-Long Beach, CA"
5643,,https://www.walmart.com/store/5643-oxnard-ca,Walmart Neighborhood Market,open,421 W Esplanade Dr,Oxnard,,California,CA,93036,US,34.237,-119.1788,America/Los_Angeles,Neighborhood Market,,805-604-2082,06,06111,06111009200,061110092002000,37100,348,ceo,census,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA",TRUE,"Los Angeles-Long Beach, CA"
3087,,https://www.walmart.com/store/3087-oxnard-ca,Walmart,open,2701 Saviers Rd,Oxnard,,California,CA,93033,US,34.1746,-119.1795,America/Los_Angeles,Discount,,805-200-5224,06,06111,06111003802,061110038022012,37100,348,ceo,census,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA",TRUE,"Los Angeles-Long Beach, CA"
3650,,https://www.walmart.com/store/3650-ventura-ca,Walmart,open,1739 S Victoria Ave,Ventura,,California,CA,93003,US,34.258,-119.2129,America/Los_Angeles,Discount,,805-665-5560,06,06111,06111001509,061110015091000,37100,348,ceo,census,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA",TRUE,"Los Angeles-Long Beach, CA"
2054,,https://www.walmart.com/store/2054-jackson-ca,Walmart,open,10355 Wicklow Way,Jackson,,California,CA,95642,US,38.358,-120.8062,America/Los_Angeles,Discount,,209-223-5384,06,06005,06005000304,060050003041004,,,ceo,census,,,,
1840,,https://www.walmart.com/store/1840-manteca-ca,Walmart Supercenter,open,1205 S Main St,Manteca,,California,CA,95337,US,37.7855,-121.2185,America/Los_Angeles,Supercenter,,209-824-2000,06,06077,06077005133,060770051331000,44700,488,ceo,census,San Joaquin County,"Stockton-Lodi, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
2044,,https://www.walmart.com/store/2044-chico-ca,Walmart,open,2044 Forest Ave,Chico,,California,CA,95928,US,39.7232,-121.8048,America/Los_Angeles,Discount,,530-899-8760,06,06007,06007000903,060070009031002,17020,,ceo,census,Butte County,"Chico, CA",TRUE,
1575,,https://www.walmart.com/store/1575-oroville-ca,Walmart Supercenter,open,465 Cal Oak Rd,Oroville,,California,CA,95965,US,39.4906,-121.5706,America/Los_Angeles,Supercenter,,530-534-1082,06,06007,06007003002,060070030021013,17020,,ceo,census,Butte County,"Chico, CA",TRUE,
2053,,https://www.walmart.com/store/2053-willows-ca,Walmart Supercenter,open,470 N Airport Rd,Willows,,California,CA,95988,US,39.5258,-122.2177,America/Los_Angeles,Supercenter,,530-934-2054,06,06021,06021010401,060210104011008,,,ceo,census,,,,
2291,,https://www.walmart.com/store/2291-chula-vista-ca,Walmart,open,75 North Broadway,Chula Vista,,California,CA,91910,US,32.6516,-117.0945,America/Los_Angeles,Discount,,619-691-7945,06,06073,06073012401,060730124012003,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5305,,https://www.walmart.com/store/5305-chula-vista-ca,Walmart,open,1150 Broadway,Chula Vista,,California,CA,91911,US,32.6069,-117.0831,America/Los_Angeles,Discount,,619-591-4910,06,06073,06073013103,060730131032011,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5023,,https://www.walmart.com/store/5023-national-city-ca,Walmart Supercenter,open,1200 Highland Ave,National City,,California,CA,91950,US,32.6746,-117.099,America/Los_Angeles,Supercenter,,619-336-0395,06,06073,06073011700,060730117003000,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
3947,,https://www.walmart.com/store/3947-chula-vista-ca,Walmart Supercenter,open,875 E H St,Chula Vista,,California,CA,91910,US,32.6378,-117.0249,America/Los_Angeles,Supercenter,,619-205-4259,06,06073,06073013420,060730134202006,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5938,,https://www.walmart.com/store/5938-san-diego-ca,Walmart,open,575 Saturn Blvd,San Diego,,California,CA,92154,US,32.587,-117.0893,America/Los_Angeles,Discount,,619-205-6140,06,06073,06073010103,060730101031032,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
2150,,https://www.walmart.com/store/2150-san-diego-ca,Walmart,open,710 Dennery Road,San Diego,,California,CA,92154,US,32.5813,-117.0356,America/Los_Angeles,Discount,,619-428-4000,06,06073,06073010017,060730100172000,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
3516,,https://www.walmart.com/store/3516-chula-vista-ca,Walmart Supercenter,open,1360 Eastlake Pkwy,Chula Vista,,California,CA,91915,US,32.631,-116.9681,America/Los_Angeles,Supercenter,,619-421-3140,06,06073,06073013316,060730133164001,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
2479,,https://www.walmart.com/store/2479-san-diego-ca,Walmart Supercenter,open,3412 College Ave,San Diego,,California,CA,92115,US,32.7416,-117.0531,America/Los_Angeles,Supercenter,,619-858-0071,06,06073,06073002703,060730027034020,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5684,,https://www.walmart.com/store/5684-la-mesa-ca,Walmart Neighborhood Market,open,8810 Grossmont Blvd,La Mesa,,California,CA,91942,US,32.774,-117.0076,America/Los_Angeles,Neighborhood Market,,619-403-5392,06,06073,06073014902,060730149022001,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5140,,https://www.walmart.com/store/5140-la-mesa-ca,Walmart,open,5500 Grossmont Center Dr,La Mesa,,California,CA,91942,US,32.7782,-117.0107,America/Los_Angeles,Discount,,619-337-3655,06,06073,06073015002,060730150022005,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
2177,,https://www.walmart.com/store/2177-san-diego-ca,Walmart,open,3382 Murphy Canyon Road,San Diego,,California,CA,92123,US,32.8054,-117.1164,America/Los_Angeles,Discount,,858-571-6094,06,06073,06073009306,060730093064001,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
4169,,https://www.walmart.com/store/4169-el-cajon-ca,Walmart Neighborhood Market,open,300 North Second Street,El Cajon,,California,CA,92021,US,32.7976,-116.9366,America/Los_Angeles,Neighborhood Market,,619-219-5246,06,06073,06073015701,060730157014002,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5338,,https://www.walmart.com/store/5338-san-diego-ca,Walmart,open,4840 Shawline St,San Diego,,California,CA,92111,US,32.8296,-117.1649,America/Los_Angeles,Discount,,858-268-2885,06,06073,06073008511,060730085112027,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
1917,,https://www.walmart.com/store/1917-santee-ca,Walmart,open,170 Town Center Parkway,Santee,,California,CA,92071,US,32.8423,-116.9904,America/Los_Angeles,Discount,,619-449-7900,06,06073,06073016614,060730166141008,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
2253,,https://www.walmart.com/store/2253-el-cajon-ca,Walmart Supercenter,open,13487 Camino Canada,El Cajon,,California,CA,92021,US,32.823,-116.9008,America/Los_Angeles,Supercenter,,619-561-0828,06,06073,06073016809,060730168092009,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
1700,,https://www.walmart.com/store/1700-poway-ca,Walmart Supercenter,open,13425 Community Rd,Poway,,California,CA,92064,US,32.9566,-117.0405,America/Los_Angeles,Supercenter,,858-486-1882,06,06073,06073017041,060730170414008,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5886,,https://www.walmart.com/store/5886-encinitas-ca,Walmart Supercenter,open,1550 Leucadia Blvd,Encinitas,,California,CA,92024,US,33.0693,-117.2664,America/Los_Angeles,Supercenter,,760-704-0243,06,06073,06073017601,060730176013010,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5996,,https://www.walmart.com/store/5996-escondido-ca,Walmart,open,1330 E Grand Ave,Escondido,,California,CA,92027,US,33.1299,-117.0627,America/Los_Angeles,Discount,,760-871-6622,06,06073,06073020211,060730202112019,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
3084,,https://www.walmart.com/store/3084-escondido-ca,Walmart Neighborhood Market,open,1266 E Valley Pkwy,Escondido,,California,CA,92027,US,33.1311,-117.0659,America/Los_Angeles,Neighborhood Market,,760-871-6760,06,06073,06073020211,060730202112020,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
3494,,https://www.walmart.com/store/3494-san-marcos-ca,Walmart,open,732 Center Dr,San Marcos,,California,CA,92069,US,33.1357,-117.1235,America/Los_Angeles,Discount,,760-233-8009,06,06073,06073020025,060730200253006,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
1979,,https://www.walmart.com/store/1979-clearlake-ca,Walmart,open,15960 Dam Rd,Clearlake,,California,CA,95422,US,38.9312,-122.6165,America/Los_Angeles,Discount,,707-994-6881,06,06033,06033000702,060330007022037,17340,,ceo,census,Lake County,"Clearlake, CA",FALSE,
2553,,https://www.walmart.com/store/2553-windsor-ca,Walmart,open,6650 Hembree Ln,Windsor,,California,CA,95492,US,38.5287,-122.7902,America/Los_Angeles,Discount,,707-836-7200,06,06097,06097153809,060971538091008,42220,,ceo,census,Sonoma County,"Santa Rosa-Petaluma, CA",TRUE,
2052,,https://www.walmart.com/store/2052-ukiah-ca,Walmart,open,1155 Airport Park Blvd,Ukiah,,California,CA,95482,US,39.1336,-123.197,America/Los_Angeles,Discount,,707-468-0258,06,06045,06045011600,060450116003008,46380,,ceo,nominatim+fcc,Mendocino County,"Ukiah, CA",FALSE,
5337,,https://www.walmart.com/store/5337-clovis-ca,Walmart Supercenter,open,1185 Herndon Ave,Clovis,,California,CA,93612,US,36.8394,-119.6963,America/Los_Angeles,Supercenter,,559-321-0067,06,06019,06019005513,060190055132023,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
2277,,https://www.walmart.com/store/2277-clovis-ca,Walmart Supercenter,open,323 W Shaw Ave,Clovis,,California,CA,93612,US,36.8109,-119.717,America/Los_Angeles,Supercenter,,559-297-4176,06,06019,06019005608,060190056081003,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
5633,,https://www.walmart.com/store/5633-clovis-ca,Walmart Neighborhood Market,open,1830 Shaw Ave,Clovis,,California,CA,93611,US,36.8071,-119.681,America/Los_Angeles,Neighborhood Market,,559-862-2718,06,06019,06019005802,060190058021003,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
5634,,https://www.walmart.com/store/5634-fresno-ca,Walmart Neighborhood Market,open,6855 N Willow Ave,Fresno,,California,CA,93710,US,36.8361,-119.7314,America/Los_Angeles,Neighborhood Market,,559-862-2062,06,06019,06019005605,060190056051000,23420,260,ceo,nominatim+fcc,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
2689,,https://www.walmart.com/store/2689-fresno-ca,Walmart Neighborhood Market,open,3131 N Cedar Ave,Fresno,,California,CA,93703,US,36.7787,-119.7562,America/Los_Angeles,Neighborhood Market,,559-538-1375,06,06019,06019003301,060190033012000,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
5632,,https://www.walmart.com/store/5632-fresno-ca,Walmart Supercenter,open,1804 E Ashlan Ave,Fresno,,California,CA,93726,US,36.7925,-119.7892,America/Los_Angeles,Supercenter,,559-470-6967,06,06019,06019005100,060190051004000,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
2985,,https://www.walmart.com/store/2985-fresno-ca,Walmart Supercenter,open,7065 N Ingram Ave,Fresno,,California,CA,93650,US,36.8392,-119.8033,America/Los_Angeles,Supercenter,,559-431-0107,06,06019,06019004409,060190044091024,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
2001,,https://www.walmart.com/store/2001-fresno-ca,Walmart Supercenter,open,5111 E Cesar Chavez Blvd,Fresno,,California,CA,93727,US,36.7362,-119.7223,America/Los_Angeles,Supercenter,,559-252-9457,06,06019,06019002903,060190029032013,23420,260,ceo,fcc,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
1815,,https://www.walmart.com/store/1815-fresno-ca,Walmart Supercenter,open,4080 W Shaw Ave,Fresno,,California,CA,93722,US,36.8091,-119.8642,America/Los_Angeles,Supercenter,,559-277-8191,06,06019,06019004212,060190042121010,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
4238,,https://www.walmart.com/store/4238-sanger-ca,Walmart Supercenter,open,2761 Jensen Ave,Sanger,,California,CA,93657,US,36.7056,-119.5777,America/Los_Angeles,Supercenter,,559-875-4268,06,06019,06019006101,060190061011000,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
1882,,https://www.walmart.com/store/1882-selma-ca,Walmart Supercenter,open,3400 Floral Ave,Selma,,California,CA,93662,US,36.5772,-119.6344,America/Los_Angeles,Supercenter,,559-891-7190,06,06019,06019007101,060190071013005,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
5701,,https://www.walmart.com/store/5701-kerman-ca,Walmart Supercenter,open,14061 W. Whitesbridge Avenue,Kerman,,California,CA,93630,US,36.7331,-120.0439,America/Los_Angeles,Supercenter,,559-846-1200,06,06019,06019004006,060190040061020,23420,260,ceo,census,Fresno County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
1583,,https://www.walmart.com/store/1583-madera-ca,Walmart,open,1977 W Cleveland Ave,Madera,,California,CA,93637,US,36.9756,-120.0806,America/Los_Angeles,Discount,,559-675-9212,06,06039,06039000513,060390005133020,23420,260,ceo,census,Madera County,"Fresno, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
5394,,https://www.walmart.com/store/5394-dinuba-ca,Walmart Supercenter,open,770 W El Monte Way,Dinuba,,California,CA,93618,US,36.5433,-119.4023,America/Los_Angeles,Supercenter,,559-591-0380,06,06107,06107000502,061070005021030,47300,,ceo,census,Tulare County,"Visalia, CA",TRUE,
1645,,https://www.walmart.com/store/1645-hanford-ca,Walmart Supercenter,open,250 S 12th Ave,Hanford,,California,CA,93230,US,36.3217,-119.6758,America/Los_Angeles,Supercenter,,559-583-6292,06,06031,06031001001,060310010013031,25260,260,ceo,census,Kings County,"Hanford-Corcoran, CA",TRUE,"Fresno-Hanford-Corcoran, CA"
2826,,https://www.walmart.com/store/2826-coachella-ca,Walmart Neighborhood Market,open,83053 Avenue 48,Coachella,,California,CA,92236,US,33.6709,-116.2155,America/Los_Angeles,Neighborhood Market,,760-262-8050,06,06065,06065045226,060650452261001,40140,348,ceo,census,Riverside County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
2181,,https://www.walmart.com/store/2181-indio-ca,Walmart Supercenter,open,82-491 Avenue 42,Indio,,California,CA,92203,US,33.7437,-116.2848,America/Los_Angeles,Supercenter,,760-262-8004,06,06065,06065045214,060650452143000,40140,348,ceo,fcc,Riverside County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
8958,,https://www.walmart.com/store/8958-indio-ca,Walmart Neighborhood Market,open,44100 Jefferson St Ste F,Indio,,California,CA,92201,US,33.7285,-116.2667,America/Los_Angeles,Neighborhood Market,,760-895-6030,06,06065,06065045212,060650452122003,40140,348,ceo,census,Riverside County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
1805,,https://www.walmart.com/store/1805-la-quinta-ca,Walmart Supercenter,open,79295 Us Hwy 111,La Quinta,,California,CA,92253,US,33.7044,-116.2811,America/Los_Angeles,Supercenter,,760-564-3313,06,06065,06065045129,060650451292019,40140,348,ceo,census,Riverside County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
3026,,https://www.walmart.com/store/3026-palm-desert-ca,Walmart Neighborhood Market,open,72314 Highway 111,Palm Desert,,California,CA,92260,US,33.728,-116.4007,America/Los_Angeles,Neighborhood Market,,760-469-3428,06,06065,06065045103,060650451033024,40140,348,ceo,census,Riverside County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
5096,,https://www.walmart.com/store/5096-palm-desert-ca,Walmart Supercenter,open,34500 Monterey Ave,Palm Desert,,California,CA,92211,US,33.7977,-116.385,America/Los_Angeles,Supercenter,,760-328-4375,06,06065,06065044922,060650449223004,40140,348,ceo,census,Riverside County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
1915,,https://www.walmart.com/store/1915-yucca-valley-ca,Walmart Supercenter,open,58501 29 Palms Hwy,Yucca Valley,,California,CA,92284,US,34.122,-116.4209,America/Los_Angeles,Supercenter,,760-365-7750,06,06071,06071010429,060710104291000,40140,348,ceo,census,San Bernardino County,"Riverside-San Bernardino-Ontario, CA",TRUE,"Los Angeles-Long Beach, CA"
1910,,https://www.walmart.com/store/1910-crescent-city-ca,Walmart Supercenter,open,900 E Washington Blvd,Crescent City,,California,CA,95531,US,41.7749,-124.19,America/Los_Angeles,Supercenter,,707-464-1198,06,06015,06015000104,060150001041002,18860,152,ceo,census,Del Norte County,"Crescent City, CA",FALSE,"Brookings-Crescent City, OR-CA"
1877,,https://www.walmart.com/store/1877-porterville-ca,Walmart,open,1250 W Henderson Ave,Porterville,,California,CA,93257,US,36.0834,-119.0454,America/Los_Angeles,Discount,,559-783-8195,06,06107,06107003504,061070035043015,47300,,ceo,census,Tulare County,"Visalia, CA",TRUE,
2536,,https://www.walmart.com/store/2536-tulare-ca,Walmart,open,1110 E Prosperity Ave,Tulare,,California,CA,93274,US,36.2285,-119.3284,America/Los_Angeles,Discount,,559-684-1300,06,06107,06107002401,061070024012016,47300,,ceo,census,Tulare County,"Visalia, CA",TRUE,
5635,,https://www.walmart.com/store/5635-visalia-ca,Walmart Neighborhood Market,open,1320 N Demaree St,Visalia,,California,CA,93291,US,36.3413,-119.33,America/Los_Angeles,Neighborhood Market,,559-429-3264,06,06107,06107001011,061070010112021,47300,,ceo,census,Tulare County,"Visalia, CA",TRUE,
1826,,https://www.walmart.com/store/1826-visalia-ca,Walmart Supercenter,open,1819 E Noble Ave,Visalia,,California,CA,93292,US,36.3243,-119.2732,America/Los_Angeles,Supercenter,,559-636-2302,06,06107,06107001703,061070017031003,47300,,ceo,census,Tulare County,"Visalia, CA",TRUE,
5956,,https://www.walmart.com/store/5956-visalia-ca,Walmart Supercenter,open,3750 S Mooney Blvd,Visalia,,California,CA,93277,US,36.2967,-119.3106,America/Los_Angeles,Supercenter,,559-802-4429,06,06107,06107002011,061070020112009,47300,,ceo,census,Tulare County,"Visalia, CA",TRUE,
2094,,https://www.walmart.com/store/2094-vista-ca,Walmart Supercenter,open,1800 University Dr,Vista,,California,CA,92083,US,33.1722,-117.2166,America/Los_Angeles,Supercenter,,760-945-7995,06,06073,06073019902,060730199021007,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5075,,https://www.walmart.com/store/5075-oceanside-ca,Walmart Supercenter,open,3405 Marron Rd,Oceanside,,California,CA,92056,US,33.1773,-117.2978,America/Los_Angeles,Supercenter,,760-730-1371,06,06073,06073019803,060730198033000,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
2494,,https://www.walmart.com/store/2494-oceanside-ca,Walmart Supercenter,open,2100 Vista Way,Oceanside,,California,CA,92054,US,33.1814,-117.3473,America/Los_Angeles,Supercenter,,760-966-0026,06,06073,06073018504,060730185045005,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
5637,,https://www.walmart.com/store/5637-oceanside-ca,Walmart Neighborhood Market,open,1046 Mission Ave,Oceanside,,California,CA,92054,US,33.199,-117.3746,America/Los_Angeles,Neighborhood Market,,760-696-9906,06,06073,06073018400,060730184003000,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
2245,,https://www.walmart.com/store/2245-oceanside-ca,Walmart Supercenter,open,705 College Blvd,Oceanside,,California,CA,92057,US,33.2412,-117.2909,America/Los_Angeles,Supercenter,,760-631-0434,06,06073,06073018524,060730185242000,41740,,ceo,census,San Diego County,"San Diego-Chula Vista-Carlsbad, CA",TRUE,
2527,,https://www.walmart.com/store/2527-san-clemente-ca,Walmart,open,951 Avenida Pico,San Clemente,,California,CA,92673,US,33.4556,-117.6057,America/Los_Angeles,Discount,,949-498-6669,06,06059,06059042112,060590421121009,31080,348,ceo,census,Orange County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
5629,,https://www.walmart.com/store/5629-eureka-ca,Walmart,open,3300 Broadway Bayshore Mall,Eureka,,California,CA,95501,US,40.7808,-124.1903,America/Los_Angeles,Discount,,707-832-5269,06,06023,06023000200,060230002004010,21700,,ceo,fcc,Humboldt County,"Eureka-Arcata, CA",FALSE,
2119,,https://www.walmart.com/store/2119-milpitas-ca,Walmart Supercenter,open,301 Ranch Dr,Milpitas,,California,CA,95035,US,37.4324,-121.9205,America/Los_Angeles,Supercenter,,408-934-0304,06,06085,06085504602,060855046021122,41940,488,ceo,census,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
3123,,https://www.walmart.com/store/3123-santa-clara-ca,Walmart Neighborhood Market,open,3255 Mission College Blvd,Santa Clara,,California,CA,95054,US,37.3899,-121.9856,America/Los_Angeles,Neighborhood Market,,408-961-3599,06,06085,06085505010,060855050102033,41940,488,ceo,nominatim+fcc,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
2280,,https://www.walmart.com/store/2280-mountain-view-ca,Walmart Supercenter,open,600 Showers Dr,Mountain View,,California,CA,94040,US,37.4006,-122.1078,America/Los_Angeles,Supercenter,,650-917-0796,06,06085,06085509404,060855094044000,41940,488,ceo,nominatim+fcc,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
2486,,https://www.walmart.com/store/2486-san-jose-ca,Walmart Neighborhood Market,open,4080 Stevens Creek Blvd,San Jose,,California,CA,95129,US,37.3229,-121.9733,America/Los_Angeles,Neighborhood Market,,408-556-4505,06,06085,06085506203,060855062031001,41940,488,ceo,census,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
5435,,https://www.walmart.com/store/5435-san-jose-ca,Walmart Supercenter,open,777 Story Rd,San Jose,,California,CA,95122,US,37.331,-121.8604,America/Los_Angeles,Supercenter,,408-885-1142,06,06085,06085503105,060855031051000,41940,488,ceo,census,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
4174,,https://www.walmart.com/store/4174-san-jose-ca,Walmart Neighborhood Market,open,1450 Monterey Rd,San Jose,,California,CA,95110,US,37.3162,-121.8714,America/Los_Angeles,Neighborhood Market,,408-454-4508,06,06085,06085503122,060855031221009,41940,488,ceo,census,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
3023,,https://www.walmart.com/store/3023-san-jose-ca,Walmart Neighborhood Market,open,4055 Evergreen Village Sq Ste 140,San Jose,,California,CA,95135,US,37.3136,-121.7731,America/Los_Angeles,Neighborhood Market,,408-826-0338,,,,,,,ceo,none,,,,
5884,,https://www.walmart.com/store/5884-san-jose-ca,Walmart Supercenter,open,5095 Almaden Expy,San Jose,,California,CA,95118,US,37.2573,-121.8765,America/Los_Angeles,Supercenter,,408-600-3072,06,06085,06085502910,060855029104000,41940,488,ceo,census,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
5766,,https://www.walmart.com/store/5766-morgan-hill-ca,Walmart Supercenter,open,170 Cochrane Plz,Morgan Hill,,California,CA,95037,US,37.1492,-121.6553,America/Los_Angeles,Supercenter,,408-779-8172,06,06085,06085512311,060855123111000,41940,488,ceo,nominatim+fcc,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
2002,,https://www.walmart.com/store/2002-gilroy-ca,Walmart Supercenter,open,7150 Camino Arroyo,Gilroy,,California,CA,95020,US,37.0082,-121.5513,America/Los_Angeles,Supercenter,,408-848-8161,06,06085,06085512602,060855126021039,41940,488,ceo,nominatim+fcc,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
2458,,https://www.walmart.com/store/2458-salinas-ca,Walmart Supercenter,open,1800 N Main St,Salinas,,California,CA,93906,US,36.7178,-121.6508,America/Los_Angeles,Supercenter,,831-751-0231,06,06053,06053000103,060530001033000,41500,,ceo,census,Monterey County,"Salinas, CA",TRUE,
