store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,county_name,cbsa_name,cbsa_metro,csa_name
1185,north-st-paul,https://www.target.com/sl/north-st-paul/1185,North St Paul,Open,2199 Hwy 36 E,North Saint Paul,Ramsey,Minnesota,MN,55109-2215,US,45.013767,-93.009068,America/Chicago,Pfresh,140971,651-779-5986,27,27123,27123042601,271230426014005,33460,378,Ramsey County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
1186,salem-broadway,https://www.target.com/sl/salem-broadway/1186,Salem Broadway,Open,203 S Broadway,Salem,Rockingham,New Hampshire,NH,03079-3311,US,42.764475,-71.215039,America/New_York,Pfresh,117606,603-870-0071,33,33015,33015100401,330151004011002,14460,148,Rockingham County,"Boston-Cambridge-Newton, MA-NH",TRUE,"Boston-Worcester-Providence, MA-RI-NH"
1187,danvers,https://www.target.com/sl/danvers/1187,Danvers,Open,240 Independence Way,Danvers,Essex,Massachusetts,MA,01923-3653,US,42.552616,-70.937616,America/New_York,Pfresh,137032,978-762-4439,25,25009,25009211201,250092112012022,14460,148,Essex County,"Boston-Cambridge-Newton, MA-NH",TRUE,"Boston-Worcester-Providence, MA-RI-NH"
1188,warwick-route-2,https://www.target.com/sl/warwick-route-2/1188,Warwick Route 2,Open,1245 Bald Hill Rd,Warwick,Kent,Rhode Island,RI,02886-4233,US,41.706577,-71.494179,America/New_York,Pfresh,128175,401-821-0121,44,44003,44003022300,440030223001000,39300,148,Kent County,"Providence-Warwick, RI-MA",TRUE,"Boston-Worcester-Providence, MA-RI-NH"
1189,taunton,https://www.target.com/sl/taunton/1189,Taunton,Open,81 Taunton Depot Dr,Taunton,Bristol,Massachusetts,MA,02780-6915,US,41.877743,-71.068577,America/New_York,Pfresh,126888,508-824-8004,25,25005,25005614101,250056141012002,39300,148,Bristol County,"Providence-Warwick, RI-MA",TRUE,"Boston-Worcester-Providence, MA-RI-NH"
1190,north-attleborough,https://www.target.com/sl/north-attleborough/1190,North Attleborough,Open,1205 S Washington St,North Attleboro,Bristol,Massachusetts,MA,02760-6251,US,41.940344,-71.351931,America/New_York,Pfresh,123426,508-699-9118,25,25005,25005630400,250056304001023,39300,148,Bristol County,"Providence-Warwick, RI-MA",TRUE,"Boston-Worcester-Providence, MA-RI-NH"
1191,south-setauket,https://www.target.com/sl/south-setauket/1191,South Setauket,Open,255 Pond Path Rd,South Setauket,Suffolk,New York,NY,11720-2007,US,40.88487,-73.09976,America/New_York,Pfresh,135521,631-580-5356,36,36103,36103158108,361031581082009,35620,408,Suffolk County,"New York-Newark-Jersey City, NY-NJ",TRUE,"New York-Newark, NY-NJ-CT-PA"
1192,middletown,https://www.target.com/sl/middletown/1192,Middletown,Open,2105 Route 35,Middletown,Monmouth,New Jersey,NJ,07748-1301,US,40.411546,-74.135431,America/New_York,Pfresh,117709,732-706-9222,34,34025,34025800701,340258007011022,35620,408,Monmouth County,"New York-Newark-Jersey City, NY-NJ",TRUE,"New York-Newark, NY-NJ-CT-PA"
1193,gaithersburg,https://www.target.com/sl/gaithersburg/1193,Gaithersburg,Open,25 Grand Corner Ave,Gaithersburg,Montgomery,Maryland,MD,20878-7305,US,39.118834,-77.20236,America/New_York,Pfresh,153748,301-721-1760,24,24031,24031700839,240317008393003,47900,548,Montgomery County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",TRUE,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
1194,greece,https://www.target.com/sl/greece/1194,Greece,Open,600 Greece Ridge Center Dr,Rochester,Monroe,New York,NY,14626-2825,US,43.2024,-77.692925,America/New_York,Pfresh,123024,585-225-0240,36,36055,36055014102,360550141023007,40380,464,Monroe County,"Rochester, NY",TRUE,"Rochester-Batavia-Seneca Falls, NY"
1195,penfield,https://www.target.com/sl/penfield/1195,Penfield,Open,2161 N Nine Mile Point Rd,Fairport,Monroe,New York,NY,14450-8509,US,43.128391,-77.443196,America/New_York,Pfresh,122991,585-377-0360,36,36055,36055011601,360550116011000,40380,464,Monroe County,"Rochester, NY",TRUE,"Rochester-Batavia-Seneca Falls, NY"
1196,warrington,https://www.target.com/sl/warrington/1196,Warrington,Open,401 Easton Rd,Warrington,Bucks,Pennsylvania,PA,18976-2457,US,40.224163,-75.137097,America/New_York,Pfresh,124640,215-491-5370,42,42017,42017101808,420171018082002,37980,428,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",TRUE,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
1197,buckhead,https://www.target.com/sl/buckhead/1197,Buckhead,Open,3535 Peachtree Rd NE,Atlanta,Fulton,Georgia,GA,30326-3287,US,33.851828,-84.358821,America/New_York,Pfresh,163745,404-237-9494,13,13121,13121009607,131210096073002,12060,122,Fulton County,"Atlanta-Sandy Springs-Roswell, GA",TRUE,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
1198,anderson,https://www.target.com/sl/anderson/1198,Anderson,Open,3519 Clemson Blvd,Anderson,Anderson,South Carolina,SC,29621-1312,US,34.54954,-82.679501,America/New_York,Pfresh,122605,864-224-9772,45,45007,45007001000,450070010001017,24860,273,Anderson County,"Greenville-Anderson-Greer, SC",TRUE,"Greenville-Spartanburg-Anderson, SC"
1199,columbia-harbison-blvd,https://www.target.com/sl/columbia-harbison-blvd/1199,Columbia Harbison Blvd,Open,134 Harbison Blvd,Columbia,Lexington,South Carolina,SC,29212-2204,US,34.066744,-81.164761,America/New_York,Pfresh,124739,803-749-0869,45,45063,45063021111,450630211111001,17900,192,Lexington County,"Columbia, SC",TRUE,"Columbia-Sumter-Orangeburg, SC"
1200,florence,https://www.target.com/sl/florence/1200,Florence,Open,1100 Hansel Ave,Florence,Boone,Kentucky,KY,41042-4869,US,39.019597,-84.633243,America/New_York,Pfresh,128710,859-371-7771,21,21015,21015070311,210150703111017,17140,178,Boone County,"Cincinnati, OH-KY-IN",TRUE,"Cincinnati-Wilmington, OH-KY-IN"
1201,independence,https://www.target.com/sl/independence/1201,Independence,Open,17810 E 39th St S,Independence,Jackson,Missouri,MO,64055-3870,US,39.050723,-94.369265,America/Chicago,Pfresh,135605,816-373-1800,29,29095,29095014604,290950146043007,28140,312,Jackson County,"Kansas City, MO-KS",TRUE,"Kansas City-Overland Park-Kansas City, MO-KS"
1204,san-antonio-ne,https://www.target.com/sl/san-antonio-ne/1204,San Antonio NE,Open,8234 Agora Pkwy,Selma,Bexar,Texas,TX,78154-1304,US,29.568997,-98.327098,America/Chicago,Pfresh,124210,210-945-9102,48,48029,48029121702,480291217022004,41700,484,Bexar County,"San Antonio-New Braunfels, TX",TRUE,"San Antonio-New Braunfels-Kerrville, TX"
1205,gig-harbor,https://www.target.com/sl/gig-harbor/1205,Gig Harbor,Open,11400 51st Ave NW,Gig Harbor,Pierce,Washington,WA,98332-7891,US,47.360864,-122.607339,America/Los_Angeles,Pfresh,124550,253-858-9777,53,53053,53053072509,530530725092006,42660,500,Pierce County,"Seattle-Tacoma-Bellevue, WA",TRUE,"Seattle-Tacoma, WA"
1206,buford,https://www.target.com/sl/buford/1206,Buford,Open,3205 Woodward Crossing Blvd,Buford,Gwinnett,Georgia,GA,30519-4938,US,34.070031,-83.98182,America/New_York,Pfresh,123986,678-482-2367,13,13135,13135050633,131350506332010,12060,122,Gwinnett County,"Atlanta-Sandy Springs-Roswell, GA",TRUE,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
1207,las-vegas-boca-park,https://www.target.com/sl/las-vegas-boca-park/1207,Las Vegas Boca Park,Open,8750 W Charleston Blvd,Las Vegas,Clark,Nevada,NV,89117-5452,US,36.161086,-115.287134,America/Los_Angeles,Pfresh,147176,702-933-2300,32,32003,32003003261,320030032612010,29820,332,Clark County,"Las Vegas-Henderson-North Las Vegas, NV",TRUE,"Las Vegas-Henderson, NV"
1208,walnut-creek,https://www.target.com/sl/walnut-creek/1208,Walnut Creek,Open,1871 N Main St,Walnut Creek,Contra Costa,California,CA,94596-4106,US,37.90513,-122.064,America/Los_Angeles,Pfresh,140866,925-979-0083,06,06013,06013339003,060133390031000,41860,488,Contra Costa County,"San Francisco-Oakland-Fremont, CA",TRUE,"San Jose-San Francisco-Oakland, CA"
1209,gilbert-val-vista,https://www.target.com/sl/gilbert-val-vista/1209,Gilbert Val Vista,Open,1515 E Warner Rd,Gilbert,Maricopa,Arizona,AZ,85296-3138,US,33.334243,-111.757366,America/Phoenix,Pfresh,122927,480-892-2282,04,04013,04013814500,040138145004001,38060,429,Maricopa County,"Phoenix-Mesa-Chandler, AZ",TRUE,"Phoenix-Mesa, AZ"
1210,hutchinson,https://www.target.com/sl/hutchinson/1210,Hutchinson,Open,1370 Highway 15 S,Hutchinson,McLeod,Minnesota,MN,55350-3801,US,44.868546,-94.377826,America/Chicago,Gen Merch,123797,320-587-7113,27,27085,27085950302,270859503021032,26780,378,McLeod County,"Hutchinson, MN",FALSE,"Minneapolis-St. Paul, MN-WI"
1211,northfield,https://www.target.com/sl/northfield/1211,Northfield,Open,2323 Highway 3 S,Northfield,Rice,Minnesota,MN,55057-5172,US,44.43365,-93.186378,America/Chicago,Pfresh,125531,507-645-4777,27,27131,27131070504,271310705042007,22060,378,Rice County,"Faribault-Northfield, MN",FALSE,"Minneapolis-St. Paul, MN-WI"
1212,grafton,https://www.target.com/sl/grafton/1212,Grafton,Open,1250 N Port Washington Rd,Grafton,Ozaukee,Wisconsin,WI,53024-9315,US,43.31914,-87.922307,America/Chicago,Pfresh,104168,262-375-6395,55,55089,55089640202,550896402025016,33340,376,Ozaukee County,"Milwaukee-Waukesha, WI",TRUE,"Milwaukee-Racine-Waukesha, WI"
1213,lemont,https://www.target.com/sl/lemont/1213,Lemont,Open,13460 S Archer Ave,Lemont,Cook,Illinois,IL,60439-4755,US,41.644007,-88.004072,America/Chicago,Pfresh,124433,630-243-6511,17,17031,17031824005,170318240053036,16980,176,Cook County,"Chicago-Naperville-Elgin, IL-IN",TRUE,"Chicago-Naperville, IL-IN-WI"
1214,washington-square,https://www.target.com/sl/washington-square/1214,Washington Square,Open,10202 E Washington St,Indianapolis,Marion,Indiana,IN,46229-2670,US,39.777506,-85.986361,America/New_York,Gen Merch,123631,317-899-3198,18,18097,18097360502,180973605024003,26900,294,Marion County,"Indianapolis-Carmel-Greenwood, IN",TRUE,"Indianapolis-Carmel-Muncie, IN"
1215,elyria,https://www.target.com/sl/elyria/1215,Elyria,Open,240 Market Dr,Elyria,Lorain,Ohio,OH,44035-2886,US,41.388517,-82.108453,America/New_York,Pfresh,122921,440-324-1000,39,39093,39093070300,390930703002010,17410,184,Lorain County,"Cleveland, OH",TRUE,"Cleveland-Akron-Canton, OH"
1216,washington,https://www.target.com/sl/washington/1216,Washington,Open,335 Washington Rd,Washington,Washington,Pennsylvania,PA,15301-2701,US,40.188115,-80.226996,America/New_York,Gen Merch,122923,724-229-9277,42,42125,42125742200,421257422001016,38300,430,Washington County,"Pittsburgh, PA",TRUE,"Pittsburgh-Weirton-Steubenville, PA-OH-WV"
1217,north-fayette,https://www.target.com/sl/north-fayette/1217,North Fayette,Open,600 Chauvet Dr,Pittsburgh,Allegheny,Pennsylvania,PA,15275-1043,US,40.44576,-80.1833,America/New_York,Pfresh,126561,412-490-0488,,,,,,,,,,
1218,mccandless,https://www.target.com/sl/mccandless/1218,McCandless,Open,105 Blazier Dr,Pittsburgh,Allegheny,Pennsylvania,PA,15237-6039,US,40.586457,-80.042153,America/New_York,Gen Merch,123720,412-369-9411,42,42003,42003413100,420034131003026,38300,430,Allegheny County,"Pittsburgh, PA",TRUE,"Pittsburgh-Weirton-Steubenville, PA-OH-WV"
1219,monroeville,https://www.target.com/sl/monroeville/1219,Monroeville,Open,4004 Monroeville Blvd,Monroeville,Allegheny,Pennsylvania,PA,15146-2506,US,40.434376,-79.772037,America/New_York,Pfresh,123074,412-374-9611,42,42003,42003521302,420035213021000,38300,430,Allegheny County,"Pittsburgh, PA",TRUE,"Pittsburgh-Weirton-Steubenville, PA-OH-WV"
1220,greensburg,https://www.target.com/sl/greensburg/1220,Greensburg,Open,6206 State Rte 30,Greensburg,Westmoreland,Pennsylvania,PA,15601-6399,US,40.303526,-79.596178,America/New_York,Gen Merch,122955,724-853-7440,42,42129,42129804801,421298048012004,38300,430,Westmoreland County,"Pittsburgh, PA",TRUE,"Pittsburgh-Weirton-Steubenville, PA-OH-WV"
1221,york-galleria,https://www.target.com/sl/york-galleria/1221,York Galleria,Open,2610 Pleasant Valley Rd,York,York,Pennsylvania,PA,17402-9609,US,39.987156,-76.68029,America/New_York,Pfresh,122960,717-755-2759,42,42133,42133010120,421330101204007,49620,276,York County,"York-Hanover, PA",TRUE,"Harrisburg-York-Lebanon, PA"
1222,spring-township,https://www.target.com/sl/spring-township/1222,Spring Township,Open,2769 Papermill Rd,Wyomissing,Berks,Pennsylvania,PA,19610-3329,US,40.359436,-75.983374,America/New_York,Pfresh,124165,610-374-9875,42,42011,42011010903,420110109031004,39740,428,Berks County,"Reading, PA",TRUE,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
1223,newnan,https://www.target.com/sl/newnan/1223,Newnan,Open,555 Bullsboro Dr,Newnan,Coweta,Georgia,GA,30265-1045,US,33.392907,-84.758875,America/New_York,Pfresh,123767,770-502-0294,13,13077,13077170307,130771703072001,12060,122,Coweta County,"Atlanta-Sandy Springs-Roswell, GA",TRUE,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
1224,bridgewater,https://www.target.com/sl/bridgewater/1224,Bridgewater,Open,200 Promenade Blvd,Bridgewater,Somerset,New Jersey,NJ,08807-3456,US,40.562362,-74.553134,America/New_York,Pfresh,135448,732-868-8333,34,34035,34035051000,340350510002002,35620,408,Somerset County,"New York-Newark-Jersey City, NY-NJ",TRUE,"New York-Newark, NY-NJ-CT-PA"
1225,richmond-brandermill,https://www.target.com/sl/richmond-brandermill/1225,Richmond Brandermill,Open,4601 Commonwealth Centre Pkwy,Midlothian,Chesterfield,Virginia,VA,23112-2639,US,37.420887,-77.63418,America/New_York,Pfresh,123423,804-639-0580,51,51041,51041101012,510411010123002,40060,,Chesterfield County,"Richmond, VA",TRUE,
1226,jacksonville,https://www.target.com/sl/jacksonville/1226,Jacksonville,Open,1395D Western Blvd,Jacksonville,Onslow,North Carolina,NC,28546-6663,US,34.785885,-77.404038,America/New_York,Gen Merch,103619,910-937-6400,37,37133,37133001303,371330013031006,27340,,Onslow County,"Jacksonville, NC",TRUE,
1227,concord,https://www.target.com/sl/concord/1227,Concord,Open,80 Damante Dr,Concord,Merrimack,New Hampshire,NH,03301-5759,US,43.2189,-71.485199,America/New_York,Pfresh,123791,603-227-0809,33,33013,33013044100,330130441002007,18180,148,Merrimack County,"Concord, NH",FALSE,"Boston-Worcester-Providence, MA-RI-NH"
1228,nashua,https://www.target.com/sl/nashua/1228,Nashua,Open,310 Daniel Webster Hwy,Nashua,Hillsborough,New Hampshire,NH,03060-5730,US,42.702771,-71.437791,America/New_York,Pfresh,149956,603-891-4858,33,33011,33011011102,330110111022007,31700,148,Hillsborough County,"Manchester-Nashua, NH",TRUE,"Boston-Worcester-Providence, MA-RI-NH"
1229,everett,https://www.target.com/sl/everett/1229,Everett,Open,1 Mystic View Rd,Everett,Middlesex,Massachusetts,MA,02149-2428,US,42.399035,-71.071855,America/New_York,Pfresh,142282,617-420-0000,25,25017,25017342402,250173424021008,14460,148,Middlesex County,"Boston-Cambridge-Newton, MA-NH",TRUE,"Boston-Worcester-Providence, MA-RI-NH"
1230,boise-eagle-road,https://www.target.com/sl/boise-eagle-road/1230,Boise Eagle Road,Open,6280 N Eagle Rd,Boise,Ada,Idaho,ID,83713-0955,US,43.661723,-116.352417,America/Denver,Gen Merch,128821,208-938-8350,16,16001,16001010360,160010103601006,14260,147,Ada County,"Boise City, ID",TRUE,"Boise City-Mountain Home-Ontario, ID-OR"
1231,allen,https://www.target.com/sl/allen/1231,Allen,Open,907 W McDermott Dr,Allen,Collin,Texas,TX,75013-6503,US,33.099539,-96.681289,America/Chicago,Pfresh,122384,972-396-9486,48,48085,48085031510,480850315102002,19100,206,Collin County,"Dallas-Fort Worth-Arlington, TX",TRUE,"Dallas-Fort Worth, TX-OK"
1232,holyoke,https://www.target.com/sl/holyoke/1232,Holyoke,Open,50 Holyoke St,Holyoke,Hampden,Massachusetts,MA,01040-2709,US,42.168221,-72.642232,America/New_York,Pfresh,161146,413-532-0240,25,25013,25013812103,250138121032008,44140,521,Hampden County,"Springfield, MA",TRUE,"Springfield-Amherst Town-Northampton, MA"
1233,salisbury,https://www.target.com/sl/salisbury/1233,Salisbury,Open,125 E North Pointe Dr,Salisbury,Wicomico,Maryland,MD,21804-2283,US,38.415965,-75.560247,America/New_York,Gen Merch,103619,410-572-6144,24,24045,24045010603,240450106031001,41540,480,Wicomico County,"Salisbury, MD",TRUE,"Salisbury-Ocean Pines, MD"
1234,winchester,https://www.target.com/sl/winchester/1234,Winchester,Open,2340 Legge Blvd,Winchester,Winchester City,Virginia,VA,22601-7008,US,39.154246,-78.16744,America/New_York,Pfresh,122945,540-535-0220,51,51840,51840000302,518400003024004,49020,548,Winchester city,"Winchester, VA-WV",TRUE,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
1235,hudson,https://www.target.com/sl/hudson/1235,Hudson,Open,2401 Coulee Rd,Hudson,St. Croix,Wisconsin,WI,54016-2183,US,44.965714,-92.723746,America/Chicago,Pfresh,124904,715-381-0469,55,55109,55109120201,551091202011031,33460,378,St. Croix County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
1236,polaris,https://www.target.com/sl/polaris/1236,Polaris,Open,1485 Polaris Pkwy,Columbus,Delaware,Ohio,OH,43240-2041,US,40.138804,-82.97916,America/New_York,Pfresh,136075,614-430-5585,39,39041,39041012400,390410124002002,18140,198,Delaware County,"Columbus, OH",TRUE,"Columbus-Marion-Zanesville, OH"
1237,bozeman,https://www.target.com/sl/bozeman/1237,Bozeman,Open,2550 Catron St,Bozeman,Gallatin,Montana,MT,59718-7993,US,45.710678,-111.070672,America/Denver,Gen Merch,122614,406-582-9669,30,30031,30031000507,300310005072036,14580,,Gallatin County,"Bozeman, MT",TRUE,
1238,irvine-north,https://www.target.com/sl/irvine-north/1238,Irvine North,Open,13200 Jamboree Rd,Irvine,Orange,California,CA,92602-2307,US,33.727436,-117.784915,America/Los_Angeles,Pfresh,129642,714-838-1209,06,06059,06059052534,060590525341002,31080,348,Orange County,"Los Angeles-Long Beach-Anaheim, CA",TRUE,"Los Angeles-Long Beach, CA"
1239,carson-city,https://www.target.com/sl/carson-city/1239,Carson City,Open,910 Jacks Valley Rd,Carson City,Douglas,Nevada,NV,89705-6936,US,39.099928,-119.777541,America/Los_Angeles,Gen Merch,123008,775-267-5151,32,32005,32005002000,320050020001020,23820,456,Douglas County,"Gardnerville Ranchos, NV-CA",FALSE,"Reno-Carson City-Gardnerville Ranchos, NV-CA"
1241,o'fallon,https://www.target.com/sl/o'fallon/1241,O'Fallon,Open,2300 Highway K,O Fallon,St. Charles,Missouri,MO,63368-6661,US,38.777548,-90.696666,America/Chicago,Pfresh,123017,636-379-2903,,,,,,,,,,
1242,goodyear,https://www.target.com/sl/goodyear/1242,Goodyear,Open,1515 N Litchfield Rd,Goodyear,Maricopa,Arizona,AZ,85395-1237,US,33.462942,-112.355692,America/Phoenix,Pfresh,125102,623-935-3510,04,04013,04013061063,040130610631000,38060,429,Maricopa County,"Phoenix-Mesa-Chandler, AZ",TRUE,"Phoenix-Mesa, AZ"
1244,forest-lake,https://www.target.com/sl/forest-lake/1244,Forest Lake,Open,356 12th St SW,Forest Lake,Washington,Minnesota,MN,55025-1749,US,45.274286,-93.000051,America/Chicago,Pfresh,126228,651-464-4700,27,27163,27163070103,271630701031013,33460,378,Washington County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
1246,sturgeon-bay,https://www.target.com/sl/sturgeon-bay/1246,Sturgeon Bay,Open,410 S Ashland Ave,Sturgeon Bay,Door,Wisconsin,WI,54235-3805,US,44.823398,-87.403163,America/Chicago,Pfresh,105797,920-743-5775,55,55029,55029100800,550291008005021,,,,,,
1247,green-bay-west,https://www.target.com/sl/green-bay-west/1247,Green Bay West,Open,1001 Cormier Rd,Green Bay,Brown,Wisconsin,WI,54304-4404,US,44.49059,-88.070666,America/Chicago,Pfresh,139608,920-499-0494,55,55009,55009021303,550090213033001,24580,267,Brown County,"Green Bay, WI",TRUE,"Green Bay-Shawano, WI"
1248,appleton-east,https://www.target.com/sl/appleton-east/1248,Appleton East,Open,1800 S Kensington Dr,Appleton,Outagamie,Wisconsin,WI,54915-4136,US,44.245862,-88.35683,America/Chicago,Gen Merch,125062,920-749-9770,55,55087,55087010602,550870106023008,11540,118,Outagamie County,"Appleton, WI",TRUE,"Appleton-Oshkosh-Neenah, WI"
1249,south-windsor,https://www.target.com/sl/south-windsor/1249,South Windsor,Open,125 Buckland Hills Dr,Manchester,Hartford,Connecticut,CT,06042-8701,US,41.81014,-72.550028,America/New_York,Pfresh,127238,860-327-0082,09,09003,09003514103,090035141031000,,,,,,
1250,maryville,https://www.target.com/sl/maryville/1250,Maryville,Open,800 Watkins Rd,Maryville,Blount,Tennessee,TN,37801-4597,US,35.751972,-83.991525,America/New_York,Gen Merch,124224,865-982-1590,47,47009,47009010500,470090105002009,28940,315,Blount County,"Knoxville, TN",TRUE,"Knoxville-Morristown-Sevierville, TN"
1251,auburn-hills,https://www.target.com/sl/auburn-hills/1251,Auburn Hills,Open,650 Brown Rd,Auburn Hills,Oakland,Michigan,MI,48326-1307,US,42.706427,-83.29106,America/New_York,Pfresh,124453,248-393-8106,26,26125,26125140500,261251405004000,19820,220,Oakland County,"Detroit-Warren-Dearborn, MI",TRUE,"Detroit-Warren-Ann Arbor, MI"
1252,dayton-south,https://www.target.com/sl/dayton-south/1252,Dayton South,Open,2300 Miamisburg Centerville Rd,Dayton,Montgomery,Ohio,OH,45459-3722,US,39.633188,-84.214062,America/New_York,Pfresh,124224,937-435-3817,39,39113,39113050107,391130501071001,19430,212,Montgomery County,"Dayton-Kettering-Beavercreek, OH",TRUE,"Dayton-Springfield-Kettering, OH"
1253,waterfront,https://www.target.com/sl/waterfront/1253,Waterfront,Open,360 Waterfront Dr E,Homestead,Allegheny,Pennsylvania,PA,15120-5004,US,40.410763,-79.910806,America/New_York,Pfresh,124635,412-464-2522,42,42003,42003483800,420034838002002,38300,430,Allegheny County,"Pittsburgh, PA",TRUE,"Pittsburgh-Weirton-Steubenville, PA-OH-WV"
1254,harrisburg-north,https://www.target.com/sl/harrisburg-north/1254,Harrisburg North,Open,5125 Jonestown Rd Ste 331,Harrisburg,Dauphin,Pennsylvania,PA,17112-2983,US,40.308926,-76.796429,America/New_York,Pfresh,124537,717-671-8098,42,42043,42043022601,420430226013017,25420,276,Dauphin County,"Harrisburg-Carlisle, PA",TRUE,"Harrisburg-York-Lebanon, PA"
1255,enfield,https://www.target.com/sl/enfield/1255,Enfield,Open,"94 Elm St, Ste 1",Enfield,Hartford,Connecticut,CT,06082-3740,US,41.995833,-72.581525,America/New_York,Pfresh,128901,860-741-2676,09,09003,09003480800,090034808004001,,,,,,
1256,abington-township,https://www.target.com/sl/abington-township/1256,Abington Township,Open,1495 Old York Rd,Abington,Montgomery,Pennsylvania,PA,19001-1923,US,40.124819,-75.116154,America/New_York,Pfresh,156946,215-572-6977,42,42091,42091201608,420912016082045,37980,428,Montgomery County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",TRUE,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
1257,hagerstown,https://www.target.com/sl/hagerstown/1257,Hagerstown,Open,17213 Cole Rd,Hagerstown,Washington,Maryland,MD,21740-6981,US,39.620301,-77.772574,America/New_York,Pfresh,105032,301-582-9118,24,24043,24043001002,240430010023002,25180,548,Washington County,"Hagerstown-Martinsburg, MD-WV",TRUE,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
1258,lexington-park,https://www.target.com/sl/lexington-park/1258,Lexington Park,Open,45155 First Colony Way,California,St. Mary's,Maryland,MD,20619-2416,US,38.297683,-76.513826,America/New_York,Pfresh,124224,301-862-5003,24,24037,24037876004,240378760041023,30500,548,St. Mary's County,"Lexington Park, MD",TRUE,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
1259,cranberry,https://www.target.com/sl/cranberry/1259,Cranberry,Open,1717 Route 228,Cranberry Twp,Butler,Pennsylvania,PA,16066-5312,US,40.688076,-80.084992,America/New_York,Gen Merch,124224,724-778-9000,42,42019,42019912304,420199123041007,38300,430,Butler County,"Pittsburgh, PA",TRUE,"Pittsburgh-Weirton-Steubenville, PA-OH-WV"
1260,stroudsburg,https://www.target.com/sl/stroudsburg/1260,Stroudsburg,Open,155 Mountaineer Dr,Stroudsburg,Monroe,Pennsylvania,PA,18360-8170,US,40.996433,-75.244833,America/New_York,Pfresh,125826,570-426-1050,42,42089,42089301005,420893010052022,20700,106,Monroe County,"East Stroudsburg, PA",FALSE,"Allentown-Bethlehem-East Stroudsburg, PA-NJ"
1261,charleston,https://www.target.com/sl/charleston/1261,Charleston,Open,30 Rhl Blvd,South Charleston,Kanawha,West Virginia,WV,25309-8278,US,38.338227,-81.714517,America/New_York,Pfresh,124223,304-746-5445,54,54039,54039013002,540390130022010,16620,170,Kanawha County,"Charleston, WV",TRUE,"Charleston-Huntington-Ashland, WV-OH-KY"
1263,edgewater,https://www.target.com/sl/edgewater/1263,Edgewater,Open,543 River Rd,Edgewater,Bergen,New Jersey,NJ,07020-1146,US,40.813663,-73.982223,America/New_York,Pfresh,113378,201-402-0252,34,34003,34003013003,340030130031003,35620,408,Bergen County,"New York-Newark-Jersey City, NY-NJ",TRUE,"New York-Newark, NY-NJ-CT-PA"
1264,levittown,https://www.target.com/sl/levittown/1264,Levittown,Open,3850 Hempstead Tpke,Levittown,Nassau,New York,NY,11756-1303,US,40.724929,-73.49426,America/New_York,Pfresh,137842,516-731-9392,36,36059,36059409000,360594090003003,35620,408,Nassau County,"New York-Newark-Jersey City, NY-NJ",TRUE,"New York-Newark, NY-NJ-CT-PA"
1265,timonium,https://www.target.com/sl/timonium/1265,Timonium,Open,9901 York Rd,Cockeysville,Baltimore,Maryland,MD,21030-3407,US,39.461851,-76.634099,America/New_York,Pfresh,127229,410-683-4985,24,24005,24005408503,240054085032004,12580,548,Baltimore County,"Baltimore-Columbia-Towson, MD",TRUE,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
1266,woburn,https://www.target.com/sl/woburn/1266,Woburn,Open,101 Commerce Way,Woburn,Middlesex,Massachusetts,MA,01801-1007,US,42.518609,-71.135461,America/New_York,Pfresh,137530,781-904-0002,25,25017,25017333601,250173336011007,14460,148,Middlesex County,"Boston-Cambridge-Newton, MA-NH",TRUE,"Boston-Worcester-Providence, MA-RI-NH"
1267,waterford,https://www.target.com/sl/waterford/1267,Waterford,Open,900 Hartford Tpke,Waterford,New London,Connecticut,CT,06385-4246,US,41.377211,-72.150307,America/New_York,Pfresh,125394,860-442-3300,09,09011,09011693700,090116937001042,,,,,,
1268,colonie-northway,https://www.target.com/sl/colonie-northway/1268,Colonie Northway,Open,1440 Central Ave,Colonie,Albany,New York,NY,12205-5118,US,42.705805,-73.823925,America/New_York,Pfresh,124224,518-489-1112,36,36001,36001014001,360010140012005,10580,104,Albany County,"Albany-Schenectady-Troy, NY",TRUE,"Albany-Schenectady, NY"
